feedback_id,client_name,service_type,feedback_text,rating,timestamp,cleaned_text,compound_score,vader_pos,vader_neu,vader_neg,textblob_polarity,textblob_subjectivity,category,sentiment_label
FB-016,TrueNorth Legal,Email Security & Anti-Phishing,The phishing simulation campaign provided actionable insights and significantly improved employee security awareness.,4,2026-08-08,The phishing simulation campaign provided actionable insights and significantly improved employee security awareness.,0.5523,0.333,0.667,0.0,0.375,0.875,Positive,Positive (Satisfied)
FB-017,Quantum AI Labs,Cloud Security Audit,"Routine assessment completed. Some findings on IAM roles were useful, but overall matched generic benchmark benchmarks.",3,2026-08-09,"Routine assessment completed. Some findings on IAM roles were useful, but overall matched generic benchmark benchmarks.",0.1829,0.115,0.885,0.0,0.1,0.0,Positive,Positive (Satisfied)
FB-018,Starlight Hospitality,Database Security Hardening,Excellent recommendations for database encryption at rest and SQL audit logging. Very satisfied with the outcome.,5,2026-08-09,Excellent recommendations for database encryption at rest and SQL audit logging. Very satisfied with the outcome.,0.7967,0.327,0.673,0.0,0.825,1.0,Positive,Positive (Satisfied)
FB-019,Metropolis Transit,ICS / SCADA Security,Critical industrial control systems testing was carried out safely with zero downtime. Highly recommended.,5,2026-08-10,Critical industrial control systems testing was carried out safely with zero downtime. Highly recommended.,0.3626,0.285,0.592,0.124,0.22,0.6133,Positive,Positive (Satisfied)
FB-020,OmniRetailers,SOC & SIEM Monitoring,Average response times during alert triage. Neither particularly fast nor excessively delayed.,3,2026-08-10,Average response times during alert triage. Neither particularly fast nor excessively delayed.,0.2337,0.279,0.721,0.0,-0.0667,0.6667,Positive,Positive (Satisfied)
FB-021,Summit Insurance,Compliance & ISO 27001,Frustrated by the constant rescheduling of auditor review meetings. Project deadlines were completely derailed.,2,2026-08-11,Frustrated by the constant rescheduling of auditor review meetings. Project deadlines were completely derailed.,-0.5158,0.0,0.663,0.337,-0.2,0.3111,Negative,Negative (Needs Attention)
FB-022,BlueWave Digital,Web Application Security,Identified critical SQL injection and stored XSS vulnerabilities. Clear proof-of-concept steps made developer patching seamless.,5,2026-08-11,Identified critical SQL injection and stored XSS vulnerabilities. Clear proof-of-concept steps made developer patching seamless.,-0.0197,0.141,0.649,0.211,0.0667,0.4278,Neutral,Neutral (Standard)
FB-023,Zenith Pharma,Source Code Review,Thorough code auditing of our clinical trial portal. Great attention to cryptographic implementations.,4,2026-08-12,Thorough code auditing of our clinical trial portal. Great attention to cryptographic implementations.,0.6949,0.255,0.745,0.0,0.8,0.75,Positive,Positive (Satisfied)
FB-024,Silverline Logistics,Network Penetration Testing,Network scan was conducted smoothly. Follow-up consultation answered our infrastructure team's questions effectively.,4,2026-08-12,Network scan was conducted smoothly. Follow-up consultation answered our infrastructure team's questions effectively.,0.4642,0.195,0.805,0.0,0.5,0.65,Positive,Positive (Satisfied)
FB-025,CyberCore Inc,Red Team Assessment,The red team exercise was average. Objective targets were partially achieved without deep persistence testing.,3,2026-08-13,The red team exercise was average. Objective targets were partially achieved without deep persistence testing.,0.0,0.0,1.0,0.0,-0.05,0.24,Neutral,Neutral (Standard)
FB-026,EverGreen Energy,Incident Response,"Phenomenal crisis management support. When an active ransomware probe was detected, SafeX contained the threat rapidly.",5,2026-08-13,"Phenomenal crisis management support. When an active ransomware probe was detected, SafeX contained the threat rapidly.",-0.2127,0.217,0.482,0.301,0.1833,0.55,Negative,Negative (Needs Attention)
FB-027,Pinnacle Real Estate,Mobile App Security,Terrible communication. The security analyst was rude during the debrief call and refused to explain vulnerability impact.,1,2026-08-14,Terrible communication. The security analyst was rude during the debrief call and refused to explain vulnerability impact.,-0.727,0.098,0.488,0.415,-0.65,0.8,Negative,Negative (Needs Attention)
FB-028,CloudBridge AI,API Security Assessment,Fantastic test coverage across GraphQL and REST endpoints. Outstanding automated and manual testing balance.,5,2026-08-14,Fantastic test coverage across GraphQL and REST endpoints. Outstanding automated and manual testing balance.,0.6735,0.388,0.612,0.0,0.45,0.8875,Positive,Positive (Satisfied)
FB-029,Global Logistics Corp,Threat Modeling,Generic threat report that felt copy-pasted from internet boilerplates. Did not address our specific custom architecture.,2,2026-08-15,Generic threat report that felt copy-pasted from internet boilerplates. Did not address our specific custom architecture.,-0.5267,0.0,0.815,0.185,0.0,0.0625,Negative,Negative (Needs Attention)
FB-030,Krypton Banking,Vulnerability Assessment,"World-class service from beginning to end. Accurate triage, zero false alarms, and executive-ready reporting.",5,2026-08-15,"World-class service from beginning to end. Accurate triage, zero false alarms, and executive-ready reporting.",-0.2732,0.0,0.861,0.139,0.0,0.6167,Negative,Negative (Needs Attention)
